# Generated by tools/generate_similar_kanji_tsv.py
# Source: Kiku apps/docs/public/_kiku_db_main.tar
# Kiku commit: 68c4d00e8c2d8a61f8714c8c8075b1451ca3f77d
# Shape: KanjiInfoCompact[8] visuallySimilar
kanji_a	kanji_b	source
丁	了	kiku:wk-visually-similar
丁	子	kiku:wk-visually-similar
万	方	kiku:wk-visually-similar
丈	才	kiku:wk-visually-similar
与	写	kiku:wk-visually-similar
与	汚	kiku:wk-visually-similar
丘	兵	kiku:wk-visually-similar
丘	岳	kiku:wk-visually-similar
丘	浜	kiku:wk-visually-similar
両	南	kiku:wk-visually-similar
両	画	kiku:wk-visually-similar
丸	九	kiku:wk-visually-similar
丸	力	kiku:wk-visually-similar
丹	凡	kiku:wk-visually-similar
丹	舟	kiku:wk-visually-similar
主	住	kiku:wk-visually-similar
主	往	kiku:wk-visually-similar
主	柱	kiku:wk-visually-similar
主	注	kiku:wk-visually-similar
主	王	kiku:wk-visually-similar
之	乏	kiku:wk-visually-similar
乏	芝	kiku:wk-visually-similar
乗	垂	kiku:wk-visually-similar
乗	華	kiku:wk-visually-similar
九	力	kiku:wk-visually-similar
也	他	kiku:wk-visually-similar
也	地	kiku:wk-visually-similar
也	池	kiku:wk-visually-similar
乱	孔	kiku:wk-visually-similar
乱	札	kiku:wk-visually-similar
乱	礼	kiku:wk-visually-similar
乳	孔	kiku:wk-visually-similar
乳	浮	kiku:wk-visually-similar
了	子	kiku:wk-visually-similar
予	矛	kiku:wk-visually-similar
争	浄	kiku:wk-visually-similar
事	書	kiku:wk-visually-similar
交	校	kiku:wk-visually-similar
交	父	kiku:wk-visually-similar
交	絞	kiku:wk-visually-similar
京	束	kiku:wk-visually-similar
京	東	kiku:wk-visually-similar
京	車	kiku:wk-visually-similar
亭	亮	kiku:wk-visually-similar
亭	停	kiku:wk-visually-similar
亭	寧	kiku:wk-visually-similar
亮	停	kiku:wk-visually-similar
人	入	kiku:wk-visually-similar
仏	払	kiku:wk-visually-similar
仏	松	kiku:wk-visually-similar
仏	私	kiku:wk-visually-similar
仕	任	kiku:wk-visually-similar
他	地	kiku:wk-visually-similar
他	池	kiku:wk-visually-similar
付	代	kiku:wk-visually-similar
付	村	kiku:wk-visually-similar
付	竹	kiku:wk-visually-similar
仙	山	kiku:wk-visually-similar
令	冷	kiku:wk-visually-similar
令	命	kiku:wk-visually-similar
以	似	kiku:wk-visually-similar
仮	反	kiku:wk-visually-similar
仮	坂	kiku:wk-visually-similar
仮	板	kiku:wk-visually-similar
仮	版	kiku:wk-visually-similar
仮	販	kiku:wk-visually-similar
仮	返	kiku:wk-visually-similar
仮	阪	kiku:wk-visually-similar
仮	飯	kiku:wk-visually-similar
仰	抑	kiku:wk-visually-similar
仰	迎	kiku:wk-visually-similar
仲	沖	kiku:wk-visually-similar
件	午	kiku:wk-visually-similar
件	牛	kiku:wk-visually-similar
任	廷	kiku:wk-visually-similar
企	余	kiku:wk-visually-similar
企	全	kiku:wk-visually-similar
企	金	kiku:wk-visually-similar
伎	岐	kiku:wk-visually-similar
伎	技	kiku:wk-visually-similar
伎	支	kiku:wk-visually-similar
伎	枚	kiku:wk-visually-similar
伎	枝	kiku:wk-visually-similar
伎	肢	kiku:wk-visually-similar
伎	鼓	kiku:wk-visually-similar
休	体	kiku:wk-visually-similar
