Kanji,Rank
人,1
一,2
見,3
言,4
何,5
大,6
気,7
出,8
今,9
思,10
前,11
分,12
手,13
行,14
間,15
来,16
日,17
子,18
生,19
中,20
私,21
本,22
上,23
事,24
時,25
目,26
自,27
当,28
入,29
合,30
知,31
全,32
持,33
方,34
待,35
話,36
度,37
心,38
聞,39
俺,40
先,41
変,42
最,43
会,44
体,45
違,46
無,47
力,48
者,49
回,50
後,51
物,52
誰,53
意,54
取,55
理,56
場,57
部,58
悪,59
夫,60
同,61
動,62
早,63
下,64
女,65
感,66
立,67
年,68
丈,69
実,70
様,71
少,72
対,73
切,74
決,75
作,76
食,77
所,78
長,79
世,80
君,81
好,82
不,83
通,84
考,85
味,86
込,87
明,88
次,89
使,90
外,91
確,92
強,93
帰,94
相,95
結,96
名,97
高,98
用,99
地,100
家,101
然,102
緒,103
着,104
仕,105
張,106
近,107
連,108
勝,109
必,110
向,111
初,112
引,113
以,114
別,115
終,116
楽,117
願,118
的,119
落,120
信,121
絶,122
面,123
男,124
代,125
死,126
顔,127
身,128
発,129
小,130
真,131
残,132
開,133
始,134
元,135
戻,136
直,137
失,138
覚,139
頼,140
僕,141
新,142
正,143
番,144
彼,145
配,146
続,147
教,148
要,149
足,150
戦,151
返,152
解,153
付,154
命,155
助,156
性,157
伝,158
学,159
呼,160
止,161
急,162
界,163
声,164
口,165
受,166
情,167
関,168
現,169
屋,170
道,171
起,172
成,173
内,174
二,175
逃,176
野,177
安,178
調,179
定,180
守,181
任,182
負,183
空,184
金,185
達,186
嫌,187
多,188
我,189
魔,190
白,191
問,192
能,193
親,194
過,195
苦,196
音,197
父,198
頭,199
重,200
乗,201
集,202
笑,203
月,204
礼,205
書,206
神,207
特,208
夜,209
応,210
追,211
業,212
殺,213
放,214
員,215
数,216
離,217
母,218
優,219
美,220
忘,221
仲,222
置,223
葉,224
指,225
倒,226
題,227
愛,228
突,229
主,230
風,231
消,232
機,233
飛,234
国,235
果,236
得,237
他,238
断,239
頑,240
天,241
法,242
抜,243
流,244
由,245
水,246
進,247
許,248
構,249
係,250
運,251
化,252
危,253
利,254
友,255
山,256
平,257
皆,258
送,259
想,260
状,261
完,262
遠,263
報,264
撃,265
期,266
歩,267
可,268
遅,269
怖,270
電,271
痛,272
約,273
色,274
在,275
選,276
士,277
念,278
存,279
田,280
反,281
認,282
望,283
加,284
買,285
件,286
夢,287
計,288
供,289
良,290
寝,291
予,292
活,293
備,294
休,295
郎,296
役,297
格,298
説,299
表,300
十,301
文,302
単,303
探,304
限,305
第,306
社,307
息,308
敵,309
申,310
打,311
飲,312
組,313
朝,314
校,315
転,316
隠,317
三,318
兄,319
訳,320
邪,321
幸,322
原,323
点,324
画,325
記,326
光,327
店,328
談,329
難,330
久,331
族,332
素,333
姿,334
恐,335
態,336
太,337
欲,338
料,339
渡,340
常,341
売,342
昔,343
万,344
頃,345
半,346
普,347
品,348
困,349
似,350
疲,351
怒,352
告,353
木,354
迷,355
車,356
海,357
束,358
速,359
遊,360
客,361
傷,362
破,363
走,364
形,365
余,366
貴,367
泣,368
経,369
去,370
有,371
押,372
絡,373
寄,374
読,375
裏,376
参,377
花,378
昨,379
未,380
毎,381
謝,382
座,383
務,384
振,385
語,386
壊,387
保,388
室,389
熱,390
再,391
届,392
若,393
答,394
深,395
試,396
和,397
東,398
交,399
公,400
逆,401
局,402
器,403
超,404
証,405
捨,406
黙,407
腹,408
広,409
血,410
弱,411
火,412
視,413
際,414
喜,415
冷,416
支,417
介,418
警,419
服,420
都,421
準,422
辺,423
赤,424
川,425
段,426
済,427
触,428
差,429
奥,430
姉,431
病,432
満,433
住,434
王,435
術,436
議,437
居,438
義,439
例,440
式,441
険,442
惑,443
降,444
越,445
線,446
背,447
共,448
捕,449
黒,450
甘,451
駄,452
巻,453
師,454
退,455
土,456
育,457
制,458
簡,459
両,460
案,461
了,462
治,463
察,464
験,465
注,466
静,467
質,468
攻,469
救,470
接,471
減,472
識,473
週,474
周,475
娘,476
勢,477
増,478
悲,479
働,480
収,481
習,482
派,483
台,484
根,485
恋,486
団,487
労,488
焼,489
興,490
秘,491
片,492
容,493
石,494
茶,495
暴,496
敗,497
況,498
影,499
瞬,500
練,501
割,502
掛,503
輩,504
判,505
技,506
散,507
密,508
抱,509
精,510
像,511
具,512
害,513
古,514
驚,515
産,516
腕,517
求,518
復,519
肉,520
狙,521
